id,name,description,votes,sortorder
6192,Léon Mébiame," politician, Prime Minister (1975–1990)",0,9999
6193,Howell W. Melton, lawyer and judge,0,9999
6194,Placidus Nkalanga," Roman Catholic prelate, Bishop of Bukoba (1969–1973)",0,9999
6195,Andreja Preger, pianist and Holocaust survivor,0,9999
6196,Mogens Rukov, screenwriter,0,9999
6197,Jesús Samper," businessman, owner of Real Murcia (since 2001)",0,9999
6198,Helge Solum Larsen, politician deputy leader of Venstre (2010–2012),0,9999
6199,Jean-Luc Vilmouth, artist,0,9999
6200,Bets Borm-Luijkx," politician, member of the House of Representatives (1980–1981)",0,9999
6201,Peter Broggs, reggae musician,0,9999
6202,Douglas Dick," actor (Rope, Perry Mason)",0,9999
6203,Louis DiGiaimo, casting director (The Godfather Homicide: Life on the Street) and film producer (Donnie Brasco),0,9999
6204,Chris Harris," politician, member of the Texas House of Representatives (1985–1991) and Senate (1991–2013)",0,9999
6205,Jimmy Hill, footballer (Fulham) and manager (Coventry City) trade union leader (PFA) and TV presenter (Match of the Day),0,9999
6206,Harry Hyams, property developer (Centre Point),0,9999
6207,Greville Janner, politician MP for Leicester North West (1970–1974) and Leicester West (1974–1997),0,9999
6208,Stephen Jelicich, architect,0,9999
6209,Mabuni Kenei, martial arts expert,0,9999
6210,Samir Kuntar, convicted murderer member of Hezbollah longest-held Lebanese prisoner in Israel,0,9999
6211,Alan Lee, cricket and horse racing journalist,0,9999
6212,Madame Claude, procurer,0,9999
6213,Kurt Masur, conductor,0,9999
6214,Dickie Moore, Hall of Fame ice hockey player (Montreal Canadiens) Stanley Cup winner (1953 1956–1960),0,9999
6215,Carlos Païta, conductor,0,9999
6216,Ranganath, Telugu actor,0,9999
6217,Selma Reis, actress and singer,0,9999
6218,Ozell Sutton, civil rights activist,0,9999
6219,Karin Söder," politician, leader of the Centre Party (1985–1987), Minister for Health and Social Affairs (1979–1982), Minister for Foreign Affairs (1976–1978)",0,9999
6220,Dick Wathika," politician, Mayor of Nairobi (2004–2008)",0,9999
6221,George Burpo, baseball player (Cincinnati Reds),0,9999
6222,Rudi Ceyssens, Olympic cyclist,0,9999
6223,Patricia Elliott, actress (A Little Night Music One Life to Live) Tony Award winner (1973),0,9999
6224,Gevorg Geodakyan, musicologist,0,9999
6225,Robert Hayling, civil rights activist,0,9999
6226,Alain Jouffroy, surrealist poet and art critic,0,9999
6227,Ray Mathews, football player (Pittsburgh Steelers),0,9999
6228,Angela McEwan, actress (Nebraska Getting On),0,9999
6229,Wayne Robinson, football player (Philadelphia Eagles),0,9999
6230,Kjell Bloch Sandved, author and nature photographer,0,9999
6231,Jim West," boxer, national flyweight/super featherweight and Commonwealth flyweight champion",0,9999
6232,Rimma Bilunova, chess player and coach,0,9999
6233,Dejan Brđović," volleyball player, Olympic bronze medalist (1996)",0,9999
6234,Abune Dioskoros," prelate, Patriarch of the Eritrean Orthodox Tewahedo Church) (since 2007)",0,9999
6235,Sam Dockery, jazz pianist,0,9999
6236,David Emms, educationalist,0,9999
6237,Timothy Foote, editor and writer,0,9999
6238,Jan Góra, Roman Catholic Dominican priest,0,9999
6239,Vilgot Larsson," ice hockey player (Leksands IF), world champion (1957)",0,9999
6240,Richelieu Levoyer, army general and politician,0,9999
6241,Lim Eng Beng, basketball player,0,9999
6242,Bob Suci," football player (Houston Oilers, Boston Patriots)",0,9999
6243,Andrei Troschinsky, ice hockey player Asian champion (1999),0,9999
6244,Ernesto Mayz Vallenilla, philosopher,0,9999
6245,Emmanuel Yarbrough, mixed martial arts fighter,0,9999
6246,Arlin M. Adams, judge,0,9999
6247,Rolf Bossi, lawyer,0,9999
6248,Carol Burns, actress (Prisoner),0,9999
6249,Daisy Elliott, politician and realtor,0,9999
6250,"Derek Ezra, Baron Ezra"," coal industry administrator, Chairman of the National Coal Board (1971–1982)",0,9999
6251,Nabil Al Fadl, politician,0,9999
6252,Billy Glaze, serial killer,0,9999
6253,Marijane Landis, broadcaster and television host (WGAL-TV),0,9999
6254,Joseph Leopold Imesch," Roman Catholic prelate, Bishop of Joliet (1979–2006)",0,9999
6255,Peter Lundblad," singer (""Ta mig till havet"")",0,9999
6256,Brooke McCarter, model and actor (The Lost Boys Thrashin' Wired),0,9999
6257,V. S. Malimath," judge, Chief Justice of Karnataka (1984) and Kerala (1985–1991)",0,9999
6258,Freda Meissner-Blau," politician, founder of The Greens – The Green Alternative",0,9999
6259,Dom O'Grady, mixed martial artist,0,9999
6260,Carson Van Osten," artist, Disney Legend",0,9999
6261,Hocine Aït Ahmed," politician, founder and leader of Socialist Forces Front",0,9999
6262,Carlos Cano, actor,0,9999
6263,Chen Luyun, basketball player,0,9999
6264,"Henry Crichton, 6th Earl Erne", peer,0,9999
6265,Michael Earl, puppeteer (Sesame Street Dinosaurs Team America: World Police),0,9999
6266,Alfred G. Gilman, pharmacologist and biochemist Nobel Prize laureate,0,9999
6267,Grégoire Haddad," Melkite Greek Catholic hierarch, Archbishop of Beirut and Jbeil (1968–1975)",0,9999
6268,Hatidža Hadžiosmanović," jurist, President of the Constitutional Court of Bosnia and Herzegovina",0,9999
6269,Don Howe," footballer (West Bromwich Albion, Arsenal, national team) and coach",0,9999
6270,Ablie Jagne," footballer (Real de Banjul, national team)",0,9999
6271,Joe Jamail, attorney and billionaire,0,9999
6272,Jean-Marie Pelt, biologist,0,9999
6273,Igor Persiantsev, figure skater,0,9999
6274,Taklung Tsetrul Rinpoche," lama, Supreme Head of the Nyingma School of Tibetan Buddhism (since 2012)",0,9999
6275,Susanne Hoeber Rudolph, political scientist,0,9999
6276,Bill Subritzky, property developer and evangelist,0,9999
6277,Sir Brian Tovey," civil servant, Director of the Government Communications Headquarters (1978–1983)",0,9999
6278,Bülent Ulusu," politician, Prime Minister (1980–1983)",0,9999
6279,Romeo Anaya," boxer, WBA Bantamweight Champion (1973)",0,9999
6280,Turid Birkeland, politician Minister of Culture (1996–1997),0,9999
6281,Suprovat Chakravarty, Olympic cyclist (1952),0,9999
6282,David C. Clark, politician,0,9999
6283,Michael W. Davidson, microscopist,0,9999
6284,Eugène Dodeigne, sculptor,0,9999
6285,Robert S. Folkenberg," Seventh-day Adventist leader, President of the General Conference (1990–1999)",0,9999
6286,Dennis Griffiths, newspaper executive (Evening Standard) and press historian,0,9999
6287,William Guest, R&B singer (Gladys Knight & the Pips),0,9999
6288,Mel Holmes, football player (Pittsburgh Steelers),0,9999
6289,Ron Jacobs, basketball coach (Loyola Marymount University Northern Cement Philippine national team),0,9999
6290,Jin Xiang, composer and music critic,0,9999
6291,Takeharu Kunimoto, musician,0,9999
6292,Letty Jimenez Magsanoc, journalist (Philippine Daily Inquirer),0,9999
6293,Adriana Olguín," lawyer and politician, Minister of Justice (1952)",0,9999
6294,Manuel Agujetas, flamenco singer,0,9999
6295,Zahran Alloush, rebel commander founder of Jaysh al-Islam,0,9999
6296,Jim Carlton," politician, member of the Australian Parliament (1977–1994), Minister for Health (1982–1983)",0,9999
6297,Ali Eid," politician, General Secretary of the Arab Democratic Party (since 1972)",0,9999
6298,George Evans, rugby league player (St. George),0,9999
6299,Karen Friesicke, comedian and actres,0,9999
6300,Leonid Gofshtein, chess grandmaster,0,9999
6301,Ottavio Jemma, screenwriter,0,9999
6302,Eric Philpott, Gaelic footballer (Cork),0,9999
6303,Ignacio Rupérez," author and diplomat, Ambassador to Iraq (2005–2008) and Honduras (2009–2010)",0,9999
6304,Acharya S, religious author,0,9999
6305,Sadhana Shivdasani," film actress (Love in Simla, Woh Kaun Thi, Hum Dono)",0,9999
6306,Robert Spitzer, psychiatrist,0,9999
6307,Jason Wingreen, actor (Archie Bunker's Place) and voice actor (The Empire Strikes Back),0,9999
6308,Nasser al-Bahri, Islamist militant and bodyguard,0,9999
6309,Tony Buffery," actor, comedian and writer",0,9999
6310,Ogwyn Davies, painter,0,9999
6311,Bobby Dews, baseball player and coach (Atlanta Braves),0,9999
6312,Ed Dobson, theologian,0,9999
6313,Ståle Eskeland, jurist,0,9999
6314,Robert Austin Larter, politician,0,9999
6315,Emory Melton," politician, Missouri State Senator (1972–1996)",0,9999
6316,William O'Callaghan," Army lieutenant general, Force Commander (United Nations Interim Force in Lebanon)",0,9999
6317,Jim O'Toole, baseball player (Cincinnati Reds),0,9999
6318,Mac Otten, basketball player (St. Louis Bombers),0,9999
6319,Jamie Parsons, politician Mayor of Juneau (1991–1994),0,9999
6320,Frank B. Salisbury, plant physiologist,0,9999
6321,Mary Scranton, community advocate and philanthropist First Lady of Pennsylvania (1963–1967),0,9999
6322,Sten Wickbom," politician, Governor of Kronoberg County (1988–1995), Minister for Justice (1983–1987)",0,9999
6323,Naji al Jurf, journalist and filmmaker,0,9999
6324,Christopher N. L. Brooke, medieval historian,0,9999
6325,Stein Eriksen," alpine skier, Olympic champion (1952) and triple world champion (1954)",0,9999
6326,Franco Giacobini, actor,0,9999
6327,Dave Henderson, baseball player (Seattle Mariners Boston Red Sox Oakland Athletics) World Series champion (1989),0,9999
6328,Aidan Higgins, writer,0,9999
6329,Ellsworth Kelly, artist,0,9999
6330,Meadowlark Lemon, Hall of Fame basketball player (Harlem Globetrotters),0,9999
6331,Sidney Mintz, anthropologist,0,9999
6332,Alfredo Pacheco, footballer (FAS New York Red Bulls national team),0,9999
6333,Carlos Rosales Mendoza," drug lord, founder of La Familia Michoacana",0,9999
6334,Andy M. Stewart, folk singer (Silly Wizard),0,9999
6335,Craig Strickland, country singer,0,9999
6336,Roy Swinbourne, footballer (Wolverhampton Wanderers),0,9999
6337,Gabriel Tambon," politician, Mayor of Le Castellet, Var (since 1965)",0,9999
6338,Brian Turner, cricketer,0,9999
6339,Wilbur Volz, football player (Buffalo Bills),0,9999
6340,Berenado Vunibobo, politician and diplomat,0,9999
6341,Haskell Wexler," cinematographer and director (Who's Afraid of Virginia Woolf?, One Flew Over the Cuckoo's Nest, Medium Cool), Oscar winner (1966, 1976)",0,9999
6342,Stevie Wright, singer (The Easybeats),0,9999
6343,Youhannes Ezzat Zakaria Badir," Coptic Catholic hierarch, Bishop of Ismayliah (1992–1994) and Luqsor (since 1994)",0,9999
6344,Ann Arnold, artist,0,9999
6345,Chris Barnard, author,0,9999
6346,Robert O. Blake, diplomat Ambassador to Mali (1970–1973),0,9999
6347,John Bradbury, drummer (The Specials),0,9999
6348,Nancy Randall Clark, politician,0,9999
6349,Rick Cluchey, playwright,0,9999
6350,Bram de Does, typographer,0,9999
6351,Maggie Deahm," politician, member of the Australian House of Representatives for Macquarie (1993–1996)",0,9999
6352,Guru Josh, musician,0,9999
6353,Joe Houston, jazz and R&B saxophonist,0,9999
6354,Eloy Inos, politician Governor (since 2013) Lieutenant Governor (2009–2013),0,9999
6355,Eiji Kimizuka, general Chief of Staff Ground Self-Defense Force (2011–2013),0,9999
6356,Tiffany Leong, actress,0,9999
6357,Aura Lewis, reggae singer,0,9999
6358,Ian Murdock," software engineer, founder of the Debian Project",0,9999
6359,Åge Nordkild," politician, member of the Sami Parliament (2001–2005, 2009–2013)",0,9999
6360,Tone Nyhagen, dancer,0,9999
6361,Landon H. Rowland, businessman (Kansas City Southern Railway),0,9999
6362,Pierre-Marie Rudelle, painter,0,9999
6363,Allen Sapp, painter,0,9999
6364,Sylvester Stein, writer and athlete,0,9999
6365,Sean Whitesell, actor and television producer (Cold Case House Oz),0,9999
6366,Sabino Acquaviva, sociologist,0,9999
6367,Billie Allen," actress, one of the first black performers on U.S. television",0,9999
6368,Aslam Azhar, television executive,0,9999
6369,Tony Carroll, psychotherapist,0,9999
6370,Patrick Curtin, Gaelic footballer (Kerry),0,9999
6371,Edward Hugh, economist,0,9999
6372,Kim Yang-gon, senior politician,0,9999
6373,Elżbieta Krzesińska," track and field athlete, Olympic champion (1956)",0,9999
6374,Om Prakash Malhotra, Army general,0,9999
6375,Frank Malzone," baseball player (Boston Red Sox, California Angels)",0,9999
6376,Master Blaster, dancehall musician,0,9999
6377,Ed Mayer, baseball player (Chicago Cubs),0,9999
6378,James L. McCorkle Jr., historian,0,9999
6379,Johann Schwerdfeger, World War II soldier,0,9999
6380,Pavel Srníček, footballer (Newcastle United national team) European Championship runner-up (1996),0,9999
6381,George Andreadis, author,0,9999
6382,Doug Atkins," football player (Cleveland Browns, Chicago Bears, New Orleans Saints), NFL champion (1954, 1963)",0,9999
6383,Víctor Santiago Díaz, politician,0,9999
6384,"Howard Davis, Jr.", boxer Olympic champion (1976),0,9999
6385,Chatral Sangye Dorje, yogi,0,9999
6386,George Elsey, military adviser,0,9999
6387,Mangesh Padgaonkar, poet,0,9999
6388,Howard Pawley," politician, Premier of Manitoba (1981–1988)",0,9999
6389,Luis Silva Parra, jazz saxophonist,0,9999
6390,Yuhanon Mor Philoxenos, Syriac Orthodox bishop,0,9999
6391,Zjef Vanuytsel, folk and kleinkunst singer,0,9999
6392,Roman Bartoszcze, politician,0,9999
6393,Wesley Burrowes, playwright (Glenroe),0,9999
6394,Bronislav Danda," ice hockey player, bronze medalist at the 1955 World Ice Hockey Championships",0,9999
6395,Steve Gohouri," footballer (Wigan Athletic, national team)",0,9999
6396,Geoffrey Hawthorn, sociologist,0,9999
6397,Beth Howland, actress and singer,0,9999
6398,Marion James, blues singer,0,9999
6399,Donal Leahy, footballer (Cork Celtic),0,9999
6400,Marvin Panch, racing driver,0,9999
6401,Felix Pirani, theoretical physicist,0,9999
6402,Vern Rapp," baseball manager (St. Louis Cardinals, Cincinnati Reds)",0,9999
6403,Dal Richards, big band leader,0,9999
6404,Wayne Rogers, actor (M*A*S*H Cool Hand Luke House Calls),0,9999
6405,Daniel L. Ryan," Roman Catholic prelate, Bishop of Springfield in Illinois (1983–1999)",0,9999
6406,Richard Sapper, industrial designer,0,9999
6407,Peter Wight, cricket player (Somerset) and umpire,0,9999
6408,Natasha Aguilar, swimmer silver and bronze medalist at the 1987 Pan American Games,0,9999
6409,George Alexandru, theater and film actor,0,9999
6410,Fazu Aliyeva, Avar poet and journalist,0,9999
6411,Lennie Bluett," actor (Gone with the Wind, Mighty Joe Young, A Star is Born)",0,9999
6412,Antonio Carrizo, broadcaster,0,9999
6413,Jacques Deny, mathematician,0,9999
6414,Brian Johns, company director managing director of the Australian Broadcasting Corporation (1995–2000),0,9999
6415,Gilbert Kaplan, conductor and businessman,0,9999
6416,Helmut Koester, history professor,0,9999
6417,Tony Lane, art director (Rolling Stone),0,9999
6418,Mark B, hip-hop record producer,0,9999
6419,Gilberto Mendes, composer,0,9999
6420,John Coleman Moore, mathematician,0,9999
6421,Homa Nategh, educator and historian,0,9999
6422,Ian Pieris, cricketer (Cambridge University Cricket Club),0,9999
6423,Jim Ross, ice hockey player (New York Rangers),0,9999
6424,Anil Salgaocar, executive and politician,0,9999
6425,Faris al-Zahrani, al-Qaeda member,0,9999
6426,Mieke Andela-Baur," politician, member of the House of Representatives",0,9999
6427,Marcel Barbeau, painter and sculptor,0,9999
6428,Ardhendu Bhushan Bardhan, politician General Secretary of the Communist Party of India (1996–2012),0,9999
6429,Vicente Camacho," businessman and politician, member of the Marianas Political Status Commission",0,9999
6430,Michel Delpech, singer-songwriter and actor,0,9999
6431,Leonard Evans, politician,0,9999
6432,Tim Francis, diplomat Ambassador to the United States (1988–1991) Administrator of Tokelau (1984–1988),0,9999
6433,Brad Fuller, video game composer (Marble Madness Tetris Blasteroids) Director of Engineering for Atari (1993–1996),0,9999
6434,Maria Garbowska-Kierczyńska, actress,0,9999
6435,Matt Hobden, cricketer (Sussex),0,9999
6436,Shigeji Kaneko, boxer,0,9999
6437,Matthiew Klinck, film director and producer,0,9999
6438,Thomas Johnstone McWiggan, aviation engineer,0,9999
6439,Gisela Mota Ocampo, politician Mayor of Temixco (2016) member of the Chamber of Deputies (2012–2015),0,9999
6440,John Reid," Anglican prelate, Bishop of South Sydney (1972–1993)",0,9999
6441,Rino Salviati," singer, guitarist and actor",0,9999
6442,Stanley Siegel, talk show host,0,9999
6443,Fateh Singh, sports shooter and army officer,0,9999
6444,Frances Cress Welsing, psychiatrist and author,0,9999
6445,Leonard White," television producer (The Avengers, Armchair Theatre) and actor",0,9999
6446,Sabri Yirmibeşoğlu, military officer Secretary-General of the National Security Council (1988–1990),0,9999
6447,Klaas Bakker, footballer (Ajax),0,9999
6448,Robert H. B. Baldwin, businessman (Morgan Stanley),0,9999
6449,Leonard Berkowitz, social psychologist,0,9999
