id,name,description,selected_by,sortorder
8646,Tom Lewis," politician, Premier of New South Wales (1975–1976)",0,9999
8647,Patrick Fabionn Lopes, football player,0,9999
8648,Xulhaz Mannan, editor,0,9999
8649,Mei Baojiu, Peking opera artist,0,9999
8650,Poornima Arvind Pakvasa, social worker,0,9999
8651,Neculai Rățoi," politician, mayor of Pașcani (1981–2008)",0,9999
8652,John Ridsdel, journalist (Calgary Herald) businessman (Petro-Canada) and Abu Sayyaf hostage,0,9999
8653,Horst Sachs, mathematician,0,9999
8654,Samantha Schubert, actress and beauty queen Miss Malaysia (1991),0,9999
8655,Rudolf Wessely, actor,0,9999
8656,Vincent Darius," Roman Catholic prelate, Bishop of Saint George's in Grenada (since 2002)",0,9999
8657,Mark Farmer, actor (Grange Hill Minder Johnny Jarvis),0,9999
8658,Winston Hill," football player (New York Jets), Super Bowl winner (1968)",0,9999
8659,William H. Jarvis, politician,0,9999
8660,Amanullah Khan, Kashmir separatism activist (JKLF),0,9999
8661,Lucy Kibaki," teacher and socialite, First Lady (2002–2013)",0,9999
8662,M. H. Mohamed, politician,0,9999
8663,Álvaro Pérez Treviño, politician,0,9999
8664,Peter Propping, geneticist,0,9999
8665,Ozzie Silna, basketball owner (Spirits of St. Louis),0,9999
8666,Martin Szipál, photographer,0,9999
8667,Masako Togawa," feminist, singer, actress and novelist",0,9999
8668,Dorothy Warburton, geneticist,0,9999
8669,James H. Ware, biostatistician,0,9999
8670,Willie L. Williams," police commissioner (Los Angeles, Philadelphia)",0,9999
8671,Harry Wu," human rights activist, founder of the Laogai Research Foundation",0,9999
8672,Vladimir Yulygin, football player and coach,0,9999
8673,James Arvaluk, politician,0,9999
8674,James Carroll," actor (Wind at My Back, Red Dead Redemption, Death to Smoochy)",0,9999
8675,Harold Cohen, computer artist (AARON),0,9999
8676,Angela Flanders, perfumer,0,9999
8677,Viktor Gavrikov, chess Grandmaster,0,9999
8678,Herta Groves, milliner,0,9999
8679,Philip Kives," marketing entrepreneur, founder of K-tel",0,9999
8680,Julio Xavier Labayen," Roman Catholic prelate, territorial prelate of Infanta (1966–2003)",0,9999
8681,Liu Lianman," mountain climber, made the first ascent of Muztagh Ata",0,9999
8682,Robert C. Mathis, air force general,0,9999
8683,Chris Parkinson," broadcaster, co-founder of Radio Hauraki",0,9999
8684,Ray Salazar," politician, Mayor of El Paso, Texas (1977–1979)",0,9999
8685,Gabriele Sima, opera singer,0,9999
8686,Toms, cartoonist (Boban and Molly),0,9999
8687,Óscar Marcelino Álvarez, footballer (Panathinaikos),0,9999
8688,Sir Edward Ashmore," officer in the Royal Navy, First Sea Lord (1974–1977)",0,9999
8689,Enrique Cal Pardo," priest, teacher and writer",0,9999
8690,Ed Davender, basketball player (Washington Bullets),0,9999
8691,Jenny Diski, writer (Nothing Natural Rainforest London Review of Books),0,9999
8692,Joe Durham," baseball player (Baltimore Orioles, St. Louis Cardinals)",0,9999
8693,Igor Fesunenko," journalist, foreign affairs writer and teacher (MGIMO)",0,9999
8694,Charles Gatewood, photographer,0,9999
8695,Fredrik Grønningsæter," priest, Bishop of Sør-Hålogaland (1982–1992)",0,9999
8696,René Hausman, comic book writer and illustrator,0,9999
8697,Barry Howard, actor (Hi-de-Hi!),0,9999
8698,Georg Kronawitter," politician, Mayor of Munich (1972–1978, 1984–1993)",0,9999
8699,Ingram Olkin, professor of statistics,0,9999
8700,David Page," composer, musical director of Bangarra Dance Theatre",0,9999
8701,Blackie Sherrod, sportswriter,0,9999
8702,Tim Bacon, restaurateur and actor,0,9999
8703,Alyson Bailes," diplomat, Ambassador to Finland (2000–2002)",0,9999
8704,Chen Zhongshi, writer (White Deer Plain),0,9999
8705,Jok Church, cartoonist (You Can with Beakman and Jax),0,9999
8706,Renato Corona, jurist Chief Justice of the Supreme Court (2010–2012),0,9999
8707,Patrick Deuel, reality TV star,0,9999
8708,Erediauwa," traditional royal, Oba of Benin (since 1979)",0,9999
8709,Dmytro Hnatyuk, baritone opera singer,0,9999
8710,Hilarius Moa Nurak," Roman Catholic prelate, Bishop of Pangkal-Pinang (since 1987)",0,9999
8711,Dave Robinson," footballer (Birmingham City, Walsall)",0,9999
8712,Jigdal Dagchen Sakya, Buddhist teacher,0,9999
8713,Don White, stock car racing driver,0,9999
8714,Wojciech Zagórski, actor,0,9999
8715,Daniel Aaron," writer and academic (Harvard University), co-founder of the Library of America",0,9999
8716,Michael Edward Ash, brewer,0,9999
8717,Daniel Berrigan," Jesuit priest, poet, peace activist and ex-convict (Catonsville Nine)",0,9999
8718,Wayne Crawford," actor, writer and producer (Valley Girl, Jake Speed)",0,9999
8719,Alphonsus F. D'Souza, Roman Catholic prelate Bishop of Raiganj (since 1987),0,9999
8720,Franco Di Giacomo, cinematographer,0,9999
8721,Marisol Escobar, sculptor,0,9999
8722,Uwe Friedrichsen," actor (Faust, Schwarz Rot Gold, Sesamstraße)",0,9999
8723,Fritz Janschka, artist,0,9999
8724,Sir Harry Kroto," chemist, laureate of the Nobel Prize in Chemistry (1996)",0,9999
8725,Réjean Lafrenière," politician, member of the Quebec National Assembly (1989–2007)",0,9999
8726,Scott Rains, travel writer,0,9999
8727,Phil Ryan, keyboardist (Man),0,9999
8728,Tracy Scott, script supervisor (Her Concussion Garden State),0,9999
8729,Peter Thomas," narrator (Nova, Forensic Files)",0,9999
8730,Vasily Zvyagintsev, science fiction author,0,9999
8731,Hamzat Ahmadu," diplomat, Ambassador to the Soviet Union, Netherlands, Cameroon, the Bahamas, and the United States",0,9999
8732,Richard Gilpin," Anglican priest, Archdeacon of Totnes (1996–2005)",0,9999
8733,Jean-Marie Girault," politician, Mayor of Caen (1970–2001)",0,9999
8734,Madeleine Lebeau," actress (Casablanca, 8½)",0,9999
8735,Merv Lincoln, middle-distance runner,0,9999
8736,Sydney Onayemi, DJ,0,9999
8737,Doug Raney, jazz guitarist,0,9999
8738,Swasti Mitter, development economist,0,9999
8739,Balwantrai Bhatt, composer and musician,0,9999
8740,Basil Blackshaw, artist,0,9999
8741,Tobias de Boer, scientist,0,9999
8742,Jonathan Cainer, astrologer (Daily Mail),0,9999
8743,Richard Davis, radio astronomer,0,9999
8744,Walter Dürst," ice hockey player, Olympic bronze medalist (1948)",0,9999
8745,Mozibur Rahman Fakir, politician,0,9999
8746,Al Ferrari," basketball player (St. Louis Hawks, Chicago Zephyrs)",0,9999
8747,Raphael Hostey, rapper and ISIL recruiter,0,9999
8748,John Kaye, politician member of the New South Wales Legislative Council (since 2007),0,9999
8749,Jacky Lee, football player (Denver Broncos Kansas City Chiefs),0,9999
8750,Balraj Madhok," politician, President of Bharatiya Jana Sangh (1966–1967)",0,9999
8751,Tomohiro Matsu, light novel writer (Listen to Me Girls. I Am Your Father! Mayoi Neko Overrun!),0,9999
8752,Paul McDowell, actor and singer (The Temperance Seven),0,9999
8753,Myles McKeon," Roman Catholic prelate, Bishop of Bunbury (1969–1982)",0,9999
8754,Roger Millward," rugby league player (Hull Kingston Rovers, Castleford Tigers, national team)",0,9999
8755,Karel Pečko, artist,0,9999
8756,Stasys Petronaitis, actor,0,9999
8757,Afeni Shakur," businesswoman (Tupac Amaru Shakur Center for the Arts, Amaru Entertainment, Makaveli Branded) and political activist (Black Panthers)",0,9999
8758,Fernando Soto Aparicio, author,0,9999
8759,Wilfried Straub, football official,0,9999
8760,Gordie Sundin, baseball player (Baltimore Orioles),0,9999
8761,Charlie Beamon, baseball player (Baltimore Orioles),0,9999
8762,Paul Boutelle, politician Socialist Workers candidate for U.S. Vice President (1968),0,9999
8763,Ian Deans, politician MP (1980–1986),0,9999
8764,Kristian Ealey," actor (Brookside, Hollyoaks)",0,9999
8765,Fan Lichu, bridge structural engineer and academician (Chinese Academy of Engineering),0,9999
8766,Abel Fernandez," actor (The Untouchables, Pork Chop Hill)",0,9999
8767,Marianne Gaba," model and actress (Missile to the Moon, The Choppers, The Beverly Hillbillies)",0,9999
8768,Gao Shan, geochemist and academician (Chinese Academy of Science),0,9999
8769,Tadeusz Gocłowski, Roman Catholic prelate Archbishop of Gdańsk (1992–2008),0,9999
8770,Sarah D. Grant, judge,0,9999
8771,Sunil Gudge, cricketer (Maharashtra),0,9999
8772,Kaname Harada, World War II flying ace,0,9999
8773,Frank Levingston," supercentenarian, nation's oldest World War II veteran",0,9999
8774,Karol Machata, actor (St. Peter's Umbrella),0,9999
8775,Allan L. McCutcheon, sociologist and statistician,0,9999
8776,Nicolas Noxon, filmmaker (Secrets of the Titanic),0,9999
8777,Ian Quigley," politician, MP for Otago Central (1972–1975)",0,9999
8778,Carl Fredrik Reuterswärd, artist (Non-Violence),0,9999
8779,Ian Sander, producer and director (Ghost Whisperer Profiler I'll Fly Away),0,9999
8780,"Domingo Siazon, Jr."," politician and diplomat, Secretary of Foreign Affairs (1995–2001), ambassador to Austria and Japan",0,9999
8781,Jadranka Stojaković, singer-songwriter,0,9999
8782,Gordon Strachan, rugby union player,0,9999
8783,Janusz Tazbir, historian,0,9999
8784,Dick Yoder," academic and politician, mayor of West Chester, Pennsylvania (2002–2010)",0,9999
8785,Tutty Alawiyah," politician, Minister for Women's Affairs (1998–1999)",0,9999
8786,Ángel de Andrés López," actor (What Have I Done to Deserve This?, 800 Bullets, Taxi)",0,9999
8787,Blas Avena, mixed martial artist (WEC),0,9999
8788,Sir Jack Baer, art deale,0,9999
8789,Jean-Baptiste Bagaza," politician, President (1976–1987)",0,9999
8790,Bob Bennett, politician U.S. Senator from Utah (1993–2011),0,9999
8791,Gaetan Boucher, ice hockey player (HC Villars),0,9999
8792,Karl Butzer, geographer,0,9999
8793,Michael Caborn-Waterfield, businessman (Ann Summers),0,9999
8794,Giuseppe Faraca, racing cyclist,0,9999
8795,Howard King, public address announcer (Michigan Stadium),0,9999
8796,Olle Ljungström, singer and guitarist,0,9999
8797,Ursula Mamlok, composer,0,9999
8798,James Oyedeji, sports historian,0,9999
8799,Paul A. Paddock, artist,0,9999
8800,Jordan Parsons, mixed martial artist (Bellator),0,9999
8801,Rita Renoir, strip-teaser and actress,0,9999
8802,Friedrich Schattleitner, sport shooter,0,9999
8803,Ret Turner," fashion designer (Cher, Dolly Parton, Carol Burnett)",0,9999
8804,Adlan Varayev," wrestler, Olympic silver medalist (1988)",0,9999
8805,John Wright, Army officer and polo administrator,0,9999
8806,Wan Mohammad Khair-il Anuar Wan Ahmad, politician MP (since 2013) Chairman of Malaysian Palm Oil Board,0,9999
8807,Benito Cocchi," Roman Catholic prelate, Archbishop of Modena-Nonantola (1996–2010)",0,9999
8808,Rollin Dart, banker (Dart National Bank),0,9999
8809,Matt Irwin, celebrity photographer,0,9999
8810,Jacob Juma, businessman,0,9999
8811,Noriah Kasnon, politician MP (since 2004),0,9999
8812,Sylvia Kauders, actress (Inside Llewyn Davis Witness Predator 2),0,9999
8813,Bill MacDermott, CFL coach (Edmonton Eskimos),0,9999
8814,Anne Atai Omoruto, physician,0,9999
8815,Romalı Perihan, actress and singer,0,9999
8816,Fred C. Robinson, academic,0,9999
8817,Siné, political cartoonist,0,9999
8818,Gabriel Thohey Mahn-Gaby," Roman Catholic prelate, Archbishop of Yangon (1971–2002)",0,9999
8819,Isao Tomita, synthesizer musician composer and arranger (Snowflakes Are Dancing),0,9999
8820,Martha Seim Valeur," politician, Deputy MP (1993–1997)",0,9999
8821,Nancy Zahniser, pharmacologist,0,9999
8822,Klaus Ampler, racing cyclist,0,9999
8823,Hannes Bauer, trombonist,0,9999
8824,Nico de Bree," footballer (NEC, Anderlecht)",0,9999
8825,Scott Burgess, actor (Water Rats),0,9999
8826,Patrick Ekeng, footballer (Le Mans Dinamo București national team),0,9999
8827,Dick Estell, radio host (The Radio Reader),0,9999
8828,Reg Grundy, television production mogul (Reg Grundy Organisation),0,9999
8829,David Hall, politician Governor of Oklahoma (1971–1975),0,9999
8830,Lakshmi Holmström, author and translator,0,9999
8831,Margot Honecker," politician, Minister of People's Education (1963–1989), First Lady (1976–1989)",0,9999
8832,Johnny Joannou, politician member of the Virginia House of Delegates (1976–1983 1998–2016) and Senate (1984–1992),0,9999
8833,Candye Kane, blues singer-songwriter and pornographic actress,0,9999
8834,Li Wanheng," soldier, commander of the 67th Army of the People's Liberation Army (1981–1983)",0,9999
8835,George Mandler, psychologist,0,9999
8836,Chris Mitchell, footballer (Queen of the South Clyde),0,9999
8837,Larry Pinto de Faria, footballer (Sport Club Internacional),0,9999
8838,Niklaus Schilling, filmmaker (The Expulsion from Paradise),0,9999
8839,Kōjō Tanaka, photographer,0,9999
8840,Abu Waheeb, field commander (ISIL) and prison escapee (Camp Bucca),0,9999
8841,Christopher Wathes, research scientist,0,9999
8842,Valeriy Zuyev, football player (Dynamo Kyiv) and manager,0,9999
8843,Fernando Álvarez de Miranda," politician, President of the Congress of Deputies (1977–1979)",0,9999
8844,Ann Day, politician member of the Arizona Senate (1990–2000),0,9999
8845,Merritt Green, lawyer and judge,0,9999
8846,Michael S. Harper, poet,0,9999
8847,Mohammad-Ali Hosseinzadeh, politician,0,9999
8848,John Krish, film director,0,9999
8849,Gonzalo López Marañon," Roman Catholic prelate, Vicar Apostolic of San Miguel de Sucumbíos (1970–2010)",0,9999
8850,José Roberto Marques, footballer (São Paulo),0,9999
8851,Bernardo Ribeiro," footballer (Skënderbeu, Newcastle Jets, IFK Mariehamn)",0,9999
8852,George Ross, footballer (Preston North End),0,9999
8853,John Stabb, punk singer (Government Issue),0,9999
8854,Nikita Struve, literary critic and publisher,0,9999
8855,Anne van den Ban, agricultural economist,0,9999
8856,Khurram Zaki, rights activist,0,9999
8857,Tom M. Apostol, analytic number theorist and professor,0,9999
8858,Philippe Beaussant, author,0,9999
8859,John Bradshaw, self-help writer,0,9999
8860,Tonita Castro, actress (Dads Funny People The Book of Life),0,9999
8861,Louisa Chase, painter,0,9999
8862,Sir Iain Glidewell," jurist, Lord Justice of Appeal (1985–1995)",0,9999
8863,Ken Gorgal," football player (Cleveland Browns, Chicago Bears)",0,9999
8864,Gareth Gwenlan, television producer (Only Fools and Horses),0,9999
8865,Joan Helpern, shoe designer,0,9999
8866,Nick Lashaway, actor (Girls In Time The Last Song),0,9999
8867,Elisa Mainardi, actress (Fellini Satyricon),0,9999
8868,Wolfgang Patzke, footballer,0,9999
8869,Geneviève Salbaing, dancer and choreographer,0,9999
8870,Rajesh Nandini Singh, politician member of the Lok Sabha (2009–2014),0,9999
8871,Friedrich von Huene, woodwind maker,0,9999
8872,John Young," baseball player (Detroit Tigers), founder of Reviving Baseball in Inner Cities",0,9999
8873,Thomas Zhang Huai-xin," clandestine Roman Catholic prelate, Bishop of Jixian (since 1981)",0,9999
8874,Chuck Curtis, football coach (University of Texas at Arlington),0,9999
8875,Andi Muhammad Ghalib," politician, Attorney General (1998–1999), Ambassador to India (2008–2013)",0,9999
8876,Rex Hughes, basketball coach,0,9999
8877,Ravi Kanojia, photojournalist,0,9999
8878,Walther Leisler Kiep," politician, member of the Bundestag (1965–1976, 1980–1982)",0,9999
8879,Bill MacIlwraith, playwright and screenwriter (Two's Company),0,9999
8880,Karl Maramorosch," virologist, entomologist and plant pathologist",0,9999
8881,Dennis Nineham, theologian,0,9999
8882,Chennamaneni Rajeshwara Rao, politician,0,9999
8883,Kelly Stearne, curler,0,9999
8884,Gijs Verdick, professional cyclist,0,9999
8885,Ronald W. Walker, historian,0,9999
8886,John Warr, cricketer,0,9999
8887,Mustafa Badreddine, military commander (Hezbollah Syrian Civil War) convicted planner of 1983 Kuwait bombings,0,9999
8888,Heinz-Georg Baus," billionaire and businessman, owner of Bauhaus AG",0,9999
8889,Jack Boothman," sports administrator, President of the Gaelic Athletic Association (1994–1997)",0,9999
8890,Sally Brampton, writer and magazine editor (Elle),0,9999
8891,Sarah Corp, television producer,0,9999
8892,Nicholas Fisk, children's author,0,9999
8893,Carlos García y García," politician, Second Vice President (1990–1992)",0,9999
8894,Louis van Gasteren, filmmaker and artist,0,9999
8895,Gene Gutowski, film producer (The Pianist The Fearless Vampire Killers Cul-de-sac),0,9999
8896,Ilkka Hanski, ecologist,0,9999
8897,Kang Young-hoon," politician, Prime Minister (1988–1990)",0,9999
8898,Mark Lane, lawyer and author (Rush to Judgment),0,9999
8899,Thomas Luckmann, sociologist (The Social Construction of Reality),0,9999
8900,François Morellet," painter, sculptor and light artist",0,9999
8901,Betty Sabo, artist,0,9999
